text,amount,category,payment_method,payment_provider,bank_account,text_source
Paid diagnostic center 13093 in cash.,,healthcare,cash,,,english
Recharged Apollo Pharmacy app with 2878 via Jupiter.,2878,healthcare,upi,jupiter,Jupiter,english
   aaj IndiGo ke liye 12513 diya Bandhan Bank card se  ,12513,travel,card,,bandhan,voice
Bus ticket on HP petrol for 9236.22.,9236.22,travel,unknown,,,english
Paid fees fees 26092.45 via GPay,26092.45,eduation,upi,gpay,,english
4961.33 paid to Ajio from Federal Bank account via slice,4961.33,Shopping,upi,slice,federal bank,ocr_upi
Monthly sovereign gold bond auto-debit of 41713 via bhim.,41713,invest,upi,NA,,english
"49065 udhar diya Coursera ke liye, baad me le lena",49065,education,unknown,,,hinglish
"1588 IndiGo ko diya for booking, paid via Jupiter",1588,travel,upi,jupiter,jupiter,hinglish
"Zepto se biryani mangwai, 1491.89 pay kiya Canara card se",1491.89,food,card,,canara,hinglish
recurring deposit mein 43199 add kiye using Google Pay,43199,Investment,upi,gpay,,voice
Direct cash se BigBasket ko 1078 transfer kiya khane ka,1078,Food,cash,,,hinglish
Uber ke ticket ke liye 2357 pay kiya credit card pe,2357,Transport,upi,None,,hinglish
"Bhai, kal Biryani Blues pe 569 kharcha hua cash pe",569,foods,Cash,,,hinglish
Slice se 2228 Hotstar ko,2228,entertainment,upi,slice,Slice,ocr_upi
aaj Burger King pe order kiya 1468 BHIM se,1468,food,upi,bhim,,voice
cash se roommate ko 3988 transfer.,3988,nan,cash,,,ocr_upi
PPF ki installment 10745 paid with jupiter,null,investment,upi,jupiter,Jupiter,voice
27519 for this month's EMI from,27519,emi,unknown,,,voice
aaj mobile recharge ka bill gaya 2387.52 cred se,2387.52,utilities,upi,cred,,voice
   checkup pe 15285 udhar diye cash se  ,15285,healthcare,cash,,,hinglish
main car loan EMI ka installment 39654 paytm se de diya,39654,emi,upi,paytm,,voice
"Dinner bill split with Arjun, my share 4901 on Phone Pe",999999.99,friends,upi,phonepe,,english
"Zara se 24650 ka maal aaya, slice se pay kiya",24650,shopping,upi,nan,Slice,hinglish
"Cleartrip me 11998 pay kiya, mode phonepe.",11998,travel,upi,phonepe,,english
Ajio ka bill 22228.38 paid by cash,9999999,shopping,cash,,,voice
"Lunch at cafe for 845, paid by Visa",845,dining,card,,,hinglish
wifi bill auto-debit of 913 from Jupiter,913,utilities,upi,jupiter,Jupiter,ocr_receipt
"Yaar, dhaba ka bill 339.14 aaya, Fi se clear kiya",339.14,grocery,upi,fi,fi,hinglish
"Priya paid the bill, so sent my half of 6353 via niyo",6353,transfer,upi,niyo,Niyo,english
PharmEasy ka bill 4955.68 Niyo kiya,4955.68,healthcare,upi,niyo,Niyo,hinglish
BigBasket order for 2436 using Mastercard,2436,food,card,,,english
fees subscription renew 57287.84 Slice,57287.84,education,upi,slice,Slice,voice
15866 paid at Netmeds using BOB cash,15866,healthcar,cash,,bob,ocr_receipt
installment installment 6875.64 paid from BOB,"6,875.64",emi,Unknown,,Bank of Baroda,ocr_upi
Paid 53715 for online course on books via PayTM.,53715,education,upi,paytm,,ocr_upi
bike loan EMI ka EMI 20392.20 auto debit hogaya,20392.20,emi,card,,,hinglish
"Dinner bill split with Karan, my share 6882.06 on Fi Money",6882.06,friends,upi,fi,Fi Money,english
sovereign gold bond purchase of 22985 using Jupiter,22985,investment,upi,None,jupiter,ocr_upi
"Paid EMI, amount 18384.62 via phonepe",18384.62,EMI,upi,phonepe,,ocr_upi
UPI payment to Coursera for 23025 using Paytm.,23025,school,upi,gpay,,ocr_upi
   coaching subscription renewed 55768.45 via cash   ,55768.45,education,cash,,,english
Fi used for coaching 57389,57389,school,upi,None,fi,english
Zomato Gold movie tickets 2063 cash,-2063,entertainment,Cash,,,english
17344.09 paid for lab tests at eye clinic using RBL card.,17344.09,healthcare,card,,RBL Bank,english
Paid electricity bill for 4865 using Phone Pe from RBL Bank,4865,bills,upi,phonepe,rbl,english
main 23038.14 pharmacy mein de aaya cash,23038.14,healthcare,cash,,,voice
"  12374 for electronics store order, payment Fi Money se hui  ",12374,purchase,upi,fi,Fi,hinglish
Groww SIP deduction of 28057 by gpay.,28057,Investment,upi,gpay,,english
metro ke ticket ke liye 9676 pay kiya cash pe,9676,travel,cash,,,hinglish
doctor bill settle 10821.84 by Fi,10821.84,healthcare,upi,fi,fi,ocr_upi
Priya ki shaadi ka gift 6130.34 Paytm se bheja,6130.34,friends,upi,paytm,,hinglish
Paid 7836 for SpiceJet ride with GPay.,7836,travel,upi,gpay,,english
Had to pay lab test 1661 using cash from .,1661,healthcare,cash,,,english
7354 paid to Ajio from State Bank account via Slice,7354,shoping,upi,slice,slice,ocr_upi
Payment of 9823 for Ananya from account via paytm.,,friends,upi,--,,ocr_upi
gas bill bill 249 done via Fi,249,recharge,upi,fi,Fi Money,english
Airtel recharge recharge of 645 with Fi,645,utilities,upi,fi,fi,english
"  Bhai, electronics store se 29632.01 ka saman liya cash diya ",29632.01,shopping,cash,,,hinglish
Auto-debit for sovereign gold bond 14737 from,14737,investment,card,,,ocr_upi
None,7997.51,p2p,unknown,,union bank,hinglish
PVR pe 275.38 lagaye for prime membership using cash,275.38,entertainment,cash,,,hinglish
Paid 12382 for Uber ride with slice.,12382,travel,upi,slice,slice,english
apne Canara account se physio ko 3839 transfer kiya,3839,hospital,unknown,,Canara Bank,voice
Payment of 1678 to Rapido successful on CRED,1678,commute,upi,cred,,ocr_upi
sovereign gold bond ke liye 32449.31 ka payment Slice kiya,32449.31,investment,upi,--,slice,voice
Just paid 3309 for my installment,3309,,unknown,,,english
"Quick bite from cafe, cost 1195, used Google Pay",1195,food,upi,None,,hinglish
Petrol 9087 at IRCTC.,9087,travel,unknown,,,english
DTH recharge ( 3586.01 ) paid through cash,3586.01,utilities,cash,,,ocr_upi
flatmate ko de diya 8267 rent ka hissa slice se,8267,friends,upi,nan,slice,voice
main rent ka 2023 bheja niyo se,2023,bills,upi,niyo,niyo,voice
Medicine from checkup 20386 on Google Pay,20386,healthcare,upi,--,,ocr_receipt
Fees for fees 28856 paid by cred,28856,education,upi,cred,,english
Uber par 1955 spend via cash from Bandhan Bank,None,travel,cash,,bandhan,ocr_upi
Paid 6289 to metro via Phone Pe,6289,emi,upi,phonepe,,ocr_upi
Paid 22124 for a Croma delivery,22124,shopping,UNKNOWN,,,english
"Bhai, EMI ka 33883.62 de diya cash se",0.01,emi,cash,,,hinglish
Jio recharge payment of 1686 using Slice bhim,1686,utilities,upi,bhim,slice,ocr_receipt
"Flipkart se 28201 ka maal aaya, Mastercard se pay kiya",28201,shopping,card,,,hinglish
Goibibo ki cab ke 10137.56 cash se transfer kar diye,9999999,travell,cash,,,hinglish
Paid 46421.06 towards sovereign gold bond via debit card,46421.06,mutual fund,card,,,ocr_upi
Bill payment for rent of 2566 via cash,2566,utilities,CASH,,,ocr_upi
  paid EMI of 18438 by card  ,18438,EMI,card,,,voice
  Coursera ke liye 41516.70 BHIM se ,41516.70,education,upi,None,,english
aaj home loan EMI ka 35869 bheja GPay kar ke,35869,EMI,upi,gpay,,voice
Neha ko 5242 udhaar diya PayTM se,,friends,upi,paytm,,hinglish
slice to Apollo Pharmacy for 22717.,22717,healthcare,upi,NA,slice,english
Rahul ke liye coffee 6353 pay Fi se,6353,friends,upi,fi,fi,voice
friend bhai ko 613.80 bej diya BHIM pe,613.80,Friends,Upi,null,,hinglish
2940.88 debited for PVR by Fi Money,2940.88,entrtainment,upi,fi,fi,ocr_upi
5300 sister ko diya for movie tickets via BHIM,5300,friends,upi,bhim,,hinglish
course ke liye 26236 pay kiye RBL card se,26236,education,card,,rbl,hinglish
Monthly installment 15266 paid by cash,15266,friends,cash,,,english
Monthly INOX subscription 2041 by cred,2041,entertainment,upi,cred,,english
34719 for exam fee books on card,34719,eduation,card,,,english
Paid 1704 at Netflix using Bandhan card,1704,Entertainment,card,,bandhan,ocr_receipt
Monthly EMI of 5961 paid via CRED,5961,emi,upi,cred,,hinglish
  PVR recharge 1747 ICICI Bank CRED ,1747,Entertainment,upi,cred,icici,ocr_upi
Coaching class 58739 paid by CRED,58739,education,upi,cred,,ocr_receipt
9938 paid to friend on bhim.,9938,shopping,upi,bhim,,ocr_upi
Rahul ka udhaar 5069 vapas kiya PayTM pe,5069,transfer,upi,None,,voice
Lunch at restaurant for 1236 paid by cash,1236,food,cash,,,english
transferred 12996 to sovereign gold bond from,12996,None,unknown,,,voice
"4073 ka petrol SpiceJet pe bharaya, PhonePe se payment",4073,travel,upi,phonepe,,hinglish
main broadband ka 293 bheja cash se,293,utilities,cash,,,voice
Spotify pe movie dekhne ka 2989 spend kiya,2989,entertainment,unknown,,,hinglish
Ananya ko 9702 bheje Kotak Mahindra ke through,9702,friends,unknown,,kotak,hinglish
Arjun ko 5589.80 bheja IDFC First card se,0,peer,upi,fi,idfc,ocr_receipt
Booked Udemy course for 2022.63 with PayTM,2022.63,education,upi,paytm,,english
795 sent to Neha for weekend plan expenses using cash,795,transfer,cash,,,english
3620 paid towards home loan EMI through Phone Pe,3620,emi,upi,null,,ocr_upi
upGrad fees 23803 diya debit card se,23803,education,card,,,voice
Burger King ko 1199 diya cash se,1199,restuarant,cash,,,hinglish
bike loan EMI ka installment 8315 Phone Pe pe de diya,8315,emi,upi,phonepe,,hinglish
bhai electricity bill de diya 1255 wala Niyo se,1255,recharge,upi,nan,niyo,voice
  null ,1524,entertainment,upi,fi,fi,voice
concert pe 511 lagaye for prime membership using cash,511,entertainment,cash,,,hinglish
"23643 to Apollo Pharmacy for medicine, paid with jupiter.",23643,healthcare,upi,jupiter,Jupiter,english
DTH recharge ka 993 ka bill auto-debit ho gaya Fi se,993,utilities,upi,fi,Fi,hinglish
bike loan EMI ke liye 31984.87 ka payment kardia Fi pe,0.01,emi,upi,fi,fi,hinglish
"Zara order paid, 19366 deducted via cash",19366,shopping,cash,,,hinglish
books subscription renew kiya 9340 ka,9340,study,unknown,,,hinglish
"Ola me 8854.71 pay kiya, mode cash.",8854.71,cab,cash,,,english
Udemy course 1153.40 by Mastercard,1153.40,education,card,,,english
Sent 5900 for Indian Oil via cash from IDFC First.,5900,travel,upi,fi,IDFC First,english
nan,15260.19,loan,upi,cred,,hinglish
electricity bill recharge ho gaya 2891 ka from phonepe,2891,utilities,upi,phonepe,,hinglish
"Quick bite from cafe, cost 1140, used jupiter",1140,restuarant,upi,null,jupiter,hinglish
280.23 Hotstar subscription ke liye de diye,280.23,OTT,unknown,,,hinglish
Hospital admission charges 15541 by jupiter.,15541,healthcare,upi,jupiter,jupiter,english
metro 13077 paid by cash from,,fuel,cash,,,ocr_receipt
Ola travel expense 3412 deducted from Niyo,3412,travel,upi,niyo,niyo,hinglish
JioCinema pe movie dekhne ka 1434 spend kiya,1434,entertainment,unknown,,,hinglish
Flipkart ke liye 24891 ka payment card se kiya,24891,shopping,CARD,,,english
"Ananya paid me back 6264 for the concert, got it in via Slice",6264,Friends,upi,slice,Slice,english
"flatmate paid me back 2356.17 for the concert, got it in HDFC via cash",-2356.17,shopping,cash,,hdfc,english
roommate for cab 3929 split Fi,3929,transfer,upi,fi,Fi,ocr_receipt
stationery coaching ka advance 49152 dedo,49152,education,unknown,,,hinglish
   friend ko 4127.44 bheja Bank of Baroda card se   ,4127.44,friends,card,,bob,ocr_receipt
HP petrol for 3229.05 using gpay,3229.05,travel,upi,gpay,,voice
"Lent 6013 to flatmate for shopping, GPay",6013,Friends,upi,gpay,,english
BookMyShow for 2580 using phonepe,2580,entertainment,upi,phonepe,,ocr_upi
"Ola me 6924 pay kiya, mode CRED.",6924,travel,upi,--,,english
3506 paid for lab tests at checkup using Union Bank cash.,3506,healthcare,cash,,union bank,english
Quick Ajio purchase for 1656,1656,shoping,UNKNOWN,,,english
2001.42 spent at BigBasket with Slice,2001.42,food,upi,slice,slice,ocr_upi
"Dinner bill split with Priya, my share 9760.57 on Niyo",9760.57,transfer,upi,,niyo,english
DTH recharge ( 1857.45 ) paid through card,1857.45,utilities,CARD,,,ocr_upi
aaj Netflix movie for 468 on cash from YES BANK,468,leisure,cash,,YES BANK,voice
Booked Coursera course for 38500.10 through cred.,38500.10,education,upi,null,,ocr_upi
concert ka monthly charge 1914 dedo Kotak card se,1914,entertainment,card,,Kotak Mahindra,hinglish
flatmate ko 5578 bheje ke through,5578,friends,unknown,,,hinglish
null,1959,dining,unknown,,,voice
Indian Oil ke liye 14382 ka payment cash se,14382,travel,cash,,,ocr_upi
"27073.50 ka course liya books pe, card se payment hua",27073.50,education,card,,,hinglish
rent pe 1039 spend kiya using slice,1039,utilities,upi,None,slice,hinglish
"Kharcha hua Myntra pe 4851, Jupiter use kiya",4851,shoping,upi,jupiter,jupiter,hinglish
concert concert ticket 2249 paid by cash,2249,entertainment,cash,,,voice
Arjun ko 6553 ka UPI payment niyo se kiya.,6553,p2p,upi,niyo,niyo,ocr_upi
"14805 ka petrol Uber pe bharaya, slice se payment",14805,travel,upi,slice,slice,hinglish
sister ko 7675 udhaar diya cred se,7675,peer,upi,cred,,hinglish
   Allen coaching subscription 34363 PhonePe   ,34363,study,upi,phonepe,,ocr_receipt
   Quick bite at mess 1597 with Jupiter debit card  ,1597,food,upi,jupiter,jupiter,english
Invested 24718 in index fund using Jupiter.,24718,investment,upi,jupiter,Jupiter,english
doctor ka 5064.18 ka bill State Bank ke card se pay,5064.18,healthcare,card,,sbi,hinglish
"Books ke liye 7371.31 ka kharcha, credit card se",7371.31,education,upi,cred,,hinglish
SonyLIV pe movie dekhne ka 153 spend kiya,153,entertainment,unknown,,,hinglish
Haldirams bill paid 512 via paytm,512,food,upi,paytm,,english
Fees for books 14054 paid by credit card,14054,education,upi,cred,,english
bhai ne bataya mutual fund SIP mein 35422 lagaye hai Paytm se,35422,invest,upi,paytm,,voice
"Udemy se material mangaya, 14165.96 diye Paytm se",14165.96,education,upi,paytm,,hinglish
recurring deposit monthly contribution of 14554 by Niyo.,14554,null,upi,niyo,niyo,english
Reliance Digital ko 9498.82 transfer kiye Bank of Baroda card se,9498.82,shoping,card,,bob,hinglish
Zomato Gold recharge for 1766 via PayTM,1766,entertainment,upi,nan,,ocr_receipt
books course ke liye 32272.40 PayTM kiya,32272.40,education,upi,paytm,,voice
Food expense at dhaba 738 by debit card,738,dining,card,,,english
4246 for medicines at physio cash payment.,4246,healthcare,cash,,,english
44385 sent to coaching for coaching using cred.,44385,education,upi,,,ocr_upi
   metro par 14587 spend via phonepe from   ,14587,fuel,upi,phonepe,,ocr_upi
Paid tuition fees 32291.16 via gpay,32291.16,study,Upi,gpay,,english
,3888,utilities,cash,,,ocr_receipt
"Yaar, home loan EMI ka paisa 24920 kat gaya Federal Bank se",24920,emi,unknown,,federal bank,hinglish
DTH recharge ka 1848.82 ka bill auto-debit ho gaya Visa se,None,recharge,card,,,hinglish
   JioCinema pe 721.65 lagaye for prime membership using cash   ,721.65,entertainment,cash,,,hinglish
mobile recharge recharge of 1010 done via Google Pay,1010,utilities,upi,gpay,,voice
"brother ka birthday treat, 523 contribute kiya cash",523,friends,cash,,,hinglish
UPI payment to roommate for 5968 using CRED.,5968,friends,upi,cred,,ocr_upi
674 ka Jio recharge payment done via Paytm,674,shopping,upi,paytm,,hinglish
"  friend ne 8978 maanga tha, wapas kiya Slice pe ",8978,friends,upi,slice,slice,hinglish
Hospital admission charges 18821 by Phone Pe.,18821,healthcare,upi,,,english
Udemy coaching ka advance 29858 dedo,29858,education,unknown,,,hinglish
39955 for PPF linked to Niyo,39955,Investment,UPI,null,niyo,ocr_receipt
Cab fare 10101 to IndiGo.,10101,travel,unknown,,,english
11872.01 added to FD from Bandhan,11872.01,savings,Unknown,,bandhan,ocr_receipt
bike loan EMI auto-debit of 21947.22 from BOB on BHIM,21947.22,loans,upi,,BOB,ocr_upi
Karan ko 3037 bheje Niyo ke through,3037,friends,upi,None,niyo,hinglish
Invested 43859.85 in Groww using credit card.,43859.85,investment,upi,cred,,english
Coursera course fee 46153 transferred via Slice,46153,school,upi,slice,slice,voice
Airtel recharge bill 1608.63 done via PayTM,1608.63,utility,upi,paytm,,english
"Ufff, Lenskart ne kat liya 11656, cash se payment",11656,retail,cash,,,hinglish
Monthly Spotify subscription 2053.15 by cash,2053.15,entertainment,cash,,,english
   Coursera course ki fees 27007 transfer ki State Bank se  ,27007,education,unknown,,sbi,hinglish
flatmate se 544 wapas liya cash mein,544,transfer,cash,,,hinglish
i paid 7345 for metro using debit card,7345,travel,card,,,voice
Slice to diagnostic center for 8238.,8238,entertainment,upi,,slice,english
education loan EMI installment 20859 paid from Fi,20859,emi,upi,fi,fi,ocr_upi
"Zomato pe khana 1462, UPI Phone Pe",1462,food,upi,--,,english
   index fund investment of 3281 by cred  ,3281,investment,upi,cred,,ocr_receipt
"Bhai, kal Pizza Hut pe 812 kharcha hua Paytm pe",812,foods,UPI,paytm,,hinglish
2368 gone for Croma shopping,2368,shopping,unknown,,,english
aaj electronics store order 9124.57 debit hua cash se,9124.57,shopping,card,,,voice
"39953 ka course liya Allen coaching pe, card se payment hua",39953,education,card,,,hinglish
806.24 udhar diya Box8 mein khane ka bill cash se,806.24,food,cash,,,voice
Udemy ki fees 13269 di cash se,13269,tution,cash,,,hinglish
Ordered biryani from Zepto 1584.76 paid by jupiter,1584.76,food,upi,jupiter,jupiter,english
Cash on delivery for Flipkart order 15392,15392,shoping,cash,,,ocr_receipt
merchant se khana mangaya 295 ka Fi card se payment,295,food,upi,fi,fi,voice
Cleartrip ki booking karne pe 5934.03 lag gaye Mastercard se,5934.03,travel,card,,,hinglish
main ne INOX ke liye 431 spend kiye cash se,431,entertainment,cash,,,voice
"Split the hotel cost with Sneha, my part 2883 cash",2883,transfer,CASH,,,english
41160.85 sovereign gold bond mein daal diye PayTM pe,41160.85,Investment,upi,paytm,,hinglish
PharmEasy ka 10478 ka bill PNB ke card se pay,10478,healthcare,card,,pnb,hinglish
1974 deducted for Steam via UPI BHIM,1974,entertainment,upi,nan,,ocr_receipt
UPI payment to JioCinema for 727 via Visa,727,entertainment,card,,,ocr_upi
bhai ne bataya crypto mein 26730 lagaye hai GPay se,26730,mutual fund,upi,null,,voice
38382 paid towards home loan EMI through card,38382,emi,card,,,ocr_upi
"7830 ka petrol Indian Oil pe bharaya, Niyo se payment",7830,travel,upi,niyo,niyo,hinglish
"2061 ka petrol Yatra pe bharaya, cash se payment",2061,null,cash,,,hinglish
Paid gas bill for 4103 using GPay from Kotak Mahindra,4103,utilities,upi,--,Kotak,english
Paid 25419 towards PPF with credit card,25419,investment,upi,--,,ocr_receipt
tuition ka payment 15615 cash se kar diya,nan,school,cash,,,voice
18874 books coaching fee paytm se,18874,education,upi,paytm,,voice
Book purchase for Coursera 20465.43 cash,20465.43,education,cash,,,ocr_receipt
28803 sip in index fund through Kotak Mahindra.,28803,investment,unknown,,Kotak,english
24805.75 ki education loan EMI bhari ke through,24805.75,emi,unknown,,,hinglish
lab test ka 9584 ka bill pay kiya card ke through,9584,Health,card,,,voice
"Online order on FirstCry for 8995, paid by BHIM",8995,shopping,upi,bhim,fi,english
electronics store transaction: 26164 via cash from IDFC First,26164,shopping,upi,fi,idfc,ocr_upi
flatmate ko 861 ka bill share kiya,861,friends,unknown,,,ocr_receipt
2934.14 PVR ki membership renew kardi Phone Pe pe se,2934.14,leisure,upi,--,,hinglish
2097 for mobile recharge using paytm card,2097,friends,upi,gpay,,english
8051 sent to Rahul for weekend plan expenses using phonepe,8051,peer,upi,phonepe,,english
Lunch at Biryani Blues for 1310 paid by debit card,1310,food,card,,,english
paid 20979.04 for PPF via Google Pay,20979.04,invest,upi,gpay,,voice
exam fee coaching class 26507 from IDFC account,26507,education,unknown,,IDFC,english
Payment to Swiggy for 301 using GPay,301,food,upi,gpay,,ocr_upi
   aaj H&M order 796 debit hua niyo se  ,796,Shopping,upi,null,niyo,voice
  RedBus 9823 paid by cash  ,9823,travel,cash,,,ocr_receipt
PVR movie 158 mein book kardi account se,158,entertainment,unknown,,,hinglish
   course ke liye 30007 ka payment Phone Pe se kiya.  ,30007,education,upi,phonepe,,ocr_upi
Ananya recharge of 8048.89 via cash.,8048.89,friends,Cash,,,ocr_upi
Indian Oil ke liye 9186 ka payment niyo se kiya.,9186,travell,upi,niyo,niyo,english
"   Yaar, dhaba ka bill 2246 aaya, cash se clear kiya  ",2246,foods,cash,,,hinglish
"Pizza Hut se biryani mangwai, 1854.26 pay kiya Niyo card se",1854.26,restuarant,upi,niyo,Niyo,hinglish
Ananya ko diye 5338.13 BHIM ke through.,5338.13,p2p,Upi,nan,,ocr_upi
  mobile recharge recharge 1487.71 done by niyo   ,1487.71,None,upi,niyo,niyo,ocr_receipt
aaj Zepto se snack liya 2061 ka upi se,null,food,unknown,,,voice
Neha to Paytm 799.88 for dinner split,799.88,friends,upi,paytm,,voice
"Bhook lag rahi thi, BigBasket se 396 ka order niyo se kiya",396,dining,UPI,NA,Niyo,hinglish
  Jio recharge ( 294 ) paid through PhonePe   ,294,utilities,upi,None,,ocr_upi
1989.93 Steam subscription auto-debit ho gaya via slice,1989.93,leisure,upi,slice,Slice,hinglish
"331.79 debited for Subway order, cash",--,Food,card,,,ocr_upi
"Lunch at McDonald's for 1052.60, paid by cash",1052.60,investment,cash,,,hinglish
Booked SonyLIV tickets for 1341 by Mastercard,1341,leisure,card,,,ocr_receipt
12188 Goibibo ko de diye cash mein,12188,travel,cash,,,hinglish
electronics store transaction: 332 via credit card from,332,travel,upi,cred,,ocr_upi
aaj Ajio order 9279.27 debit hua CRED se,"9,279.27",shopping,upi,,,voice
card to hospital for 15833.,15833,healthcar,card,,,english
UPI payment to books for 44799.37 using credit card.,44799.37,education,upi,cred,,ocr_upi
1357 transferred to broadband from Slice via Google Pay,1357,utilities,upi,null,slice,ocr_upi
"Ola me 11925.89 pay kiya, mode debit card.",--,travell,card,,,english
Netmeds pe 24714 ka payment RBL card se,24714,pharmacy,card,,rbl,hinglish
electricity bill ke liye 4619 ka payment kiya Jupiter se,4619,utilities,upi,NA,Jupiter,hinglish
phonepe se Starbucks ko 1859.54 transfer kiya lunch ke liye,1859.54,food,upi,phonepe,,voice
Monthly EMI of 3654.58 paid via debit card,3654.58,emi,card,,,hinglish
"Kharcha hua Meesho pe 14811, cash use kiya",14811,shoping,cash,,,hinglish
Myntra order for 3727 using BHIM,3727,shopping,upi,bhim,,ocr_upi
gas bill ke liye 730 ka payment kiya Jupiter se,730,utilities,upi,jupiter,jupiter,hinglish
  books subscription renew 12117.01 Visa ,12117.01,education,card,,,voice
  FirstCry 10990 done through cash  ,10990,shopping,upi,fi,fi,english
BookMyShow movie tickets 1273 debit card,1273,Entertainment,card,,,english
BookMyShow concert ticket 2693.70 paid by cash,2693.70,entertainment,cash,,,voice
bhai ne manga liya Amazon se 190 Visa kiya,190,shopping,card,,,voice
"Drove together, roommate ne petrol ka 2070 diya",2070,friends,unknown,,,hinglish
Auto debit for education loan EMI of 21555.35 from,21555.35,emi,card,,,english
Jupiter se concert ko 292 transfer for entertainment,292,Entertainment,upi,jupiter,jupiter,hinglish
  Deducted 11000 for IndiGo booking.   ,11000,Transport,unknown,,,english
Fees ka 1376.11 pay kardiya,1376.11,shopping,unknown,,,hinglish
  Ajio se shopping 307 ka cash se diya  ,307,shoping,cash,,,voice
Booked tickets on Zomato Gold for 133.92 using Mastercard,133.92,entertainment,card,,,english
Khana McDonald's 772.97 paid by cred,772.97,food,upi,cred,,ocr_upi
"Bhai, Jio recharge ka bill clear kar diya 307 ka, Kotak ke card se",307,utilities,card,,kotak,hinglish
6822 transferred for personal loan EMI using credit card,6822,loans,upi,cred,,ocr_upi
fees 36568.50 fees ko diya cash,36568.50,eduation,cash,,,voice
"DTH recharge ke liye cash diya 2539 ki, baad me card se adjust karunga",2539,utilities,card,,,hinglish
Charged 12217 to Croma from account using phonepe,12217,retail,upi,nan,,english
26644 ki home loan EMI bhari Slice ke through,26644,emi,upi,slice,Slice,hinglish
"Paid home loan EMI, amount 33457 via Mastercard",33457,emi,card,,,ocr_upi
Payment of 46002 to stationery successful on Google Pay.,46002,education,upi,None,,ocr_upi
Cash 729 for Hotstar,729,null,cash,,,english
Food expense at canteen 79 by cash,79,grocery,cash,,,english
"Lent 6810 to Ananya for shopping, niyo",6810,friends,Upi,niyo,Niyo,english
Paid 26597.01 for this month's personal loan EMI via Slice,26597.01,loan,upi,slice,Slice,english
  Cleared installment for 14928.38   ,14928.38,emi,unknown,,,english
car loan EMI EMI of 12068 done with debit card,12068,emi,card,,,ocr_upi
INOX mein 157 ka payment Google Pay se,157,entertainment,upi,gpay,,ocr_receipt
eye clinic pe 13852 udhar diye paytm se,13852,medical,UPI,paytm,,hinglish
"Lenskart se 1281.17 ka maal aaya, cred se pay kiya",1281.17,purchase,upi,cred,,hinglish
"Lunch at Pizza Hut for 1271, paid by credit card",1271,food,upi,cred,,hinglish
Sent 2572 to roommate with PayTM.,2572,p2p,upi,paytm,,ocr_upi
   returned Sneha my share 6894 on slice  ,6894,friends,UPI,slice,Slice,voice
Rapido se 6997 ka recharge ICICI Bank card se kiya,6997,utilities,card,,ICICI Bank,hinglish
Had to pay lab test 20781.45 using Jupiter from Punjab National Bank.,20781.45,pharmacy,UPI,jupiter,jupiter,english
PVR for 1470.36 using cash,1470.36,entertainment,cash,,,ocr_upi
checkup charges 269 from Fi Money card,269,healthcare,upi,fi,fi,ocr_receipt
dentist ka 6777 ka bill IDFC First ke card se pay,6777,healthcare,upi,fi,idfc,hinglish
None,1760,leisure,unknown,,Kotak Mahindra,english
Quick bite at Haldirams 806 with Canara Bank cash,806,food,cash,,Canara,english
44364.80 crypto mein daale via cash,44364.80,investment,CASH,,,hinglish
Tuition fee 16729.88 paid to exam fee with Fi Money.,16729.88,Education,Upi,fi,fi,ocr_upi
returned Arjun my share 2406.99 on slice,2406.99,friends,upi,slice,slice,voice
Ananya for cab 6569 split GPay,6569,friends,upi,None,,ocr_receipt
bhai Yatra ki ride 10917 cash diye,10917,travel,cash,,,voice
Ananya paid back 1609 via Fi,1609,peer,upi,--,fi,ocr_receipt
32936.17 for installment through cred,32936.17,emi,upi,cred,,english
1427 deducted for BookMyShow via UPI cash,1427,leisure,cash,,,ocr_receipt
i did IRCTC booking for 7354.54 with cash,7354.54,travel,cash,,,voice
Goibibo se 5434 ka recharge karaya.,5434,travel,unknown,,,english
lab test ke liye 12104 advance diya PayTM pe,12104,healthcare,upi,paytm,,hinglish
Had to pay Netmeds 20804.29 using cash from ICICI Bank.,20804.29,healthcare,cash,,ICICI Bank,english
Medical supplies from physio 20580.26 via Mastercard.,20580.26,medical,card,,,english
Investment in Angel One for 23854 from,23854,utilities,unknown,,,ocr_upi
gas bill ka bill pay kiya 1204 paytm se,1204,utilities,upi,paytm,,hinglish
34224 transferred to sovereign gold bond from account,34224,investment,unknown,,,ocr_upi
Spotify concert ticket 617 paid by card,617,entrtainment,card,,,voice
Groww investment of 47462.54 done via GPay,47462.54,investment,upi,gpay,,voice
   sovereign gold bond SIP deduction of 15784.26 by credit card.  ,15784.26,invest,upi,cred,,english
"21584 for Tata CLiQ order, payment Mastercard se hui",21584,shopping,card,,,hinglish
broadband bill settled via jupiter 678,678,utilities,upi,jupiter,Jupiter,ocr_receipt
Recharged checkup app with 21190.42 via credit card.,21190.42,healthcare,upi,cred,,english
credit card EMI auto-debit of 26532 from RBL on phonepe,26532,installment,upi,phonepe,rbl,ocr_upi
Booked exam fee course for 37229 through credit card.,37229,education,upi,None,,ocr_upi
   Payment of 2543 for Arjun from Canara Bank account via niyo.   ,2543,friends,upi,niyo,canara,ocr_upi
Hospital admission charges 5019 by card.,5019,pharmacy,card,,,english
"3024 ka petrol Indian Oil pe bharaya, paytm se payment",3024,travel,upi,paytm,,hinglish
,1666,movies,cash,,,voice
